day_of month,name,info
1,Ramiz Abutalibov,", 84, Azerbaijani diplomat and historian."
1,Paul Adegboyega Olawoore,", 60, Nigerian Roman Catholic prelate, coadjutor bishop (2018–2019) and bishop (since 2019) of Ilorin."
1,Edna Brown,", 81, American politician, member of the Ohio Senate (2011–2018) and House of Representatives (2002–2010)."
1,Gary Burgess,", 46, British broadcaster (ITV Channel Television), cancer."
1,Barbara Chilcott,", 99, Canadian actress (, , )."
1,Maurice Blanchard Cohill Jr.,", 92, American jurist, judge (since 1976) and chief judge (1985–1992) of the U.S. District Court for Western Pennsylvania, complications from a stroke."
1,David Cunliffe,", 86, British television director and producer ()."
1,Jean-Pierre Defontaine,", 84, French politician, deputy (1978–2007)."
1,Francesco Forte,", 92, Italian politician, economist and academic, MP (1979–1994), minister of European affairs (1983–1986) and of finance (1982–1983)."
1,Richard Freed,", 93, American music critic, heart attack."
1,Sir Victor Garland,", 87, Australian politician and diplomat, MP (1969–1981) and high commissioner to the United Kingdom (1981–1983)."
1,Gergely Homonnay,", 46, Hungarian writer, journalist and LGBTQ activist."
1,Arnold Jeter,", 82, American college football coach (Delaware State, New Jersey City)."
1,Max Julien,", 88, American actor (, ) and screenwriter ()."
1,Andreas Kunz,", 75, German Nordic combined competitor, Olympic bronze medalist (1968)."
1,Roger-Xavier Lantéri,", 91, French journalist."
1,Bob Leamy,", 87, New Zealand Roman Catholic prelate, bishop of Rarotonga (1984–1996)."
1,Janusz Łęski,", 91, Polish film director () and screenwriter."
1,Mighty Bomber,", 93, Grenadian-born Trinidad and Tobago calypsonian."
1,Anthony Obi,", 69, Nigerian politician, military administrator of Osun State (1996–1998)."
1,Pierre Parsus,", 100, French painter and illustrator."
1,Dan Reeves,", 77, American football player (Dallas Cowboys) and coach (Denver Broncos, Atlanta Falcons), Super Bowl champion (1972), complications from dementia."
1,Ralph Staub,", 93, American football coach (Cincinnati Bearcats, Ohio State Buckeyes, Houston Oilers)."
1,Calisto Tanzi,", 83, Italian food industry executive and convicted fraudster, founder of Parmalat and owner of Parma Calcio (1989–2003), lung infection."
1,Jean-Charles Terrassier,", 81, French psychologist."
1,Jim Toy,", 91, American LGBTQ activist."
1,Xu Xingchu,", 87, Chinese engineer, member of the Chinese Academy of Sciences."
2,Saliu Adetunji,", 93, Nigerian traditional ruler, Olubadan of Ibadan (since 2016)."
2,Juan Manuel Albendea Pabón,", 84, Spanish economist, bullfighting critic, and politician, deputy (1996–2015)."
2,Larry Biittner,", 75, American baseball player (Chicago Cubs, Washington Senators/Texas Rangers, Montreal Expos), cancer."
2,Afra Bukhari,", 83, Pakistani writer."
2,Jean-Guy Couture,", 92, Canadian Roman Catholic prelate, bishop of Chicoutimi (1979–2004)."
2,Edward J. Cowan,", 77, Scottish historian, lung cancer."
2,Da Hoss,", 29, American racehorse."
2,John Efford,", 77, Canadian politician, MP (2002–2006) and Newfoundland and Labrador MHA (1985–2001)."
2,Eric Walter Elst,", 85, Belgian astronomer."
2,Jody Gibson,", 64, American convicted procurer."
2,Bob Halloran,", 87, American sportscaster (CBS Sports)."
2,Jens Jørgen Hansen,", 82, Danish football player (Esbjerg fB, national team) and manager."
2,Jarmo Jääskeläinen,", 84, Finnish journalist and documentary filmmaker."
2,Jorma Katrama,", 85, Finnish double bassist."
2,Kenny J,", 69, Trinidad and Tobago calypsonian and soca parang singer, COVID-19."
2,Richard Leakey,", 77, Kenyan paleoanthropologist, conservationist, and politician, co-founder of Safina and WildlifeDirect."
2,Maharram Mammadyarov,", 97, Azerbaijani chemist, member of the Azerbaijan National Academy of Sciences."
2,Abd al-Mawla Naqi,", 90, Libyan politician, deputy (1960–1964)."
2,Dorothy McGowan,", 82, American model and actress ()."
2,Hamish More,", 81, Scottish cricketer (national team)."
2,Ion Niculiță,", 82, Moldovan archaeologist."
