country,nationality
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguan or Barbudan
Argentina,Argentine
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,"Azerbaijani, Azeri"
The Bahamas ,Bahamian
Bahrain,Bahraini
Bangladesh,Bengali
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,"Beninese, Beninois"
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian or Herzegovinian
Botswana,"Motswana, Botswanan"
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabé
Burma[2],Burmese
Burundi,Burundian
Cabo Verde[3],Cabo Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
"China, People's Republic of[4]",Chinese
Colombia,Colombian
Comoros,"Comoran, Comorian"
"Congo, Democratic Republic of the",Congolese
"Congo, Republic of the",Congolese 
Costa Rica,Costa Rican
Côte d'Ivoire[5],Ivorian
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
East Timor[8],Timorese
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,"Equatorial Guinean, Equatoguinean"
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
"Gambia, The",Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Greece,"Greek, Hellenic"
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,"Hungarian, Magyar"
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,"Iranian, Persian"
Iraq,Iraqi
Ireland[11],Irish
Israel,Israeli
Italy,Italian
Ivory Coast[12],Ivorian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,"Kazakhstani, Kazakh"
Kenya,Kenyan
Kiribati,I-Kiribati
North Korea,North Korean
South Korea,South Korean
Kuwait,Kuwaiti
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz"
Laos,"Lao, Laotian"
Latvia,"Latvian, Lettish"
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,"Luxembourg, Luxembourgish"
"Macedonia, Republic of",Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,"Malian, Malinese"
Malta,Maltese
Marshall Islands,Marshallese
Martinique,"Martiniquais, Martinican"
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
"Micronesia, Federated States of",Micronesian
Moldova,Moldovan
Monaco,"Monégasque, Monacan"
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Namibia,Namibian
Nauru,Nauruan
Nepal,"Nepali, Nepalese"
Netherlands,"Dutch, Netherlandic"
New Zealand,"New Zealand, NZ, Zelanian"
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Northern Mariana Islands,Northern Marianan
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,"Papua New Guinean, Papuan"
Paraguay,Paraguayan
Peru,Peruvian
Philippines,"Filipino, Philippine"
Poland,Polish
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Romania,Romanian
Russia[15],Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Kittitian or Nevisian
Saint Lucia,Saint Lucian
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian"
Samoa,Samoan
San Marino,Sammarinese
São Tomé and Príncipe,São Toméan
Saudi Arabia,"Saudi, Saudi Arabian"
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,"Singapore, Singaporean"
Slovakia,Slovak
Slovenia,"Slovenian, Slovene"
Solomon Islands,Solomon Island
Somalia,Somali
South Africa,South African
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Swaziland,Swazi
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Tajikistan,Tajikistani
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste[18],Timorese
Togo,Togolese
Tokelau,Tokelauan
Tonga,Tongan
Trinidad and Tobago,Trinidadian or Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,"Emirati, Emirian, Emiri"
United Kingdom of Great Britain and Northern Ireland ,"UK, British "
United States of America,"United States, U.S., American"
Uruguay,Uruguayan
Uzbekistan,"Uzbekistani, Uzbek"
Vanuatu,"Ni-Vanuatu, Vanuatuan"
Vatican City State,Vatican
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
